round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
165,0.7411,2.217795,0.067,,5190.5537,0.5
166,0.7432,2.217032,0.0676,,5222.0116,0.5
167,0.7449,2.216221,0.0685,,5253.4695,0.5
168,0.7478,2.215244,0.0697,,5284.9274,0.5
169,0.7497,2.214396,0.0702,,5316.3853,0.5
170,0.752,2.213668,0.0704,,5347.8432,0.5
171,0.7552,2.212298,0.071,,5379.3011,0.5
172,0.758,2.211184,0.0714,,5410.759,0.5
173,0.7596,2.210184,0.0724,,5442.2169,0.5
174,0.7616,2.209169,0.0729,,5473.6748,0.5
175,0.7622,2.208335,0.073,,5505.1327,0.5
176,0.7648,2.207422,0.0737,,5536.5906,0.5
177,0.7659,2.206583,0.0738,,5568.0485,0.5
178,0.7676,2.205674,0.0746,,5599.5064,0.5
179,0.7693,2.204707,0.0752,,5630.9643,0.5
180,0.7721,2.203777,0.0756,,5662.4222,0.5
181,0.7752,2.202789,0.0766,,5693.8801,0.5
182,0.7768,2.201456,0.0768,,5725.338,0.5
183,0.7784,2.200539,0.077,,5756.7959,0.5
184,0.7807,2.199346,0.0777,,5788.2538,0.5
185,0.7819,2.198246,0.0785,,5819.7117,0.5
186,0.7838,2.197193,0.0789,,5851.1696,0.5
187,0.7878,2.195852,0.0796,,5882.6275,0.5
188,0.7897,2.194621,0.08,,5914.0854,0.5
189,0.7915,2.193561,0.0802,,5945.5433,0.5
190,0.7932,2.192026,0.0805,,5977.0012,0.5
191,0.7945,2.190881,0.0811,,6008.4591,0.5
192,0.7969,2.189547,0.0819,,6039.917,0.5
193,0.7985,2.188255,0.0824,,6071.3749,0.5
194,0.8009,2.186912,0.0825,194,6102.8328,0.5
195,0.8021,2.185962,0.0829,194,6134.2907,0.5
196,0.8031,2.184873,0.0829,194,6165.7486,0.5
197,0.8046,2.183602,0.0836,194,6197.2065,0.5
198,0.807,2.182387,0.0844,194,6228.6644,0.5
199,0.8083,2.181054,0.0845,194,6260.1223,0.5
200,0.8093,2.179838,0.0846,194,6291.5802,0.5
